How old are you?;What is the highest degree you currently have?;What is your gender?;Which company's chatbot did you interact with?;What task did you want performed?;TaskCategory;In what language did you interact with the chatbot?;Through which platform did you interact with the chatbot?;Did you have any difficulties using the chatbot?;The chatbot did not ask the right questions to solve your task?;The chatbot didn't know what he was talking about?;Was the chatbot polite?;Did the chatbot fulfil your task correctly?;Was the chatbot easy to use?;Was it a task to interact with the chatbot?;Did the chatbot need help from a help desk agent to complete your task?;Did the chatbot contain enough knowledge to help with your problem?;Did you enjoy interacting with the chatbot?;Was the chatbot capable of completing the task on its own?;Did the chatbot ask you relevant questions to gather the information to solve your task?;Did the chatbot deliver a better quality of service than a human?;Did the chatbot interact in a respectful way?;Was the chatbot unable to complete your task?;The service provided by the human was of better quality?;Did you feel you could trust the information provided by the chatbot?;Did the chatbot perform the task as you expected it to?;Could you solve your problem/question after using the chatbot?;The chatbot DOES NOT execute the given task successfully.;The chatbot can NOT perform the requested service to the same level as a human agent. ;The chatbot knows at least as much as an agent about the requested service.;The chatbot executes the given task successfully.;The chatbot knows less than an agent about the requested service.;The chatbot can perform the requested service to the same level as a human agent.;The chatbot DOES NOT execute the given task successfully.;The chatbot can NOT perform the requested service to the same level as a human agent.;The chatbot knows at least as much as an agent about the requested service.;The chatbot executes the given task successfully.;The chatbot knows less than an agent about the requested service.;The chatbot can perform the requested service to the same level as a human agent.;The chatbot DOES NOT execute the given task successfully.;The chatbot can NOT perform the requested service to the same level as a human agent.;The chatbot knows at least as much as an agent about the requested service.;The chatbot executes the given task successfully.;The chatbot knows less than an agent about the requested service.;The chatbot can perform the requested service to the same level as a human agent.;The chatbot is NOT available at all times.;The chatbot is easy to use.;The chatbot communicates in a robotic & non-empathic way.;The chatbot is available at all times. ;The chatbot is NOT easy to use.;At times I didn't understand what the chatbot expected of me.
24;Certificate linking course to MSc;M;Proximus;What is the best subscription for me?;Personalised Question;English;On the website;1;1;1;1;2;1;2;1;2;2;2;2;2;1;1;1;1;2;2;1;4;2;5;4;2;5;5;1;1;5;1;5;5;1;1;5;1;1;4;3;5;1;1
29;Master;M;Proximus;Inquired something ;FAQ;English;On the website;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;3;3;5;5;5;4;5;3;4;3;4;4;3;3;5;4;4;3;3;4;3;4;3
22;High School;M;Telenet;new subscription;Sales;Dutch;On the website;1;2;2;1;1;2;1;1;2;2;2;1;2;1;1;1;1;2;2;2;5;2;4;4;1;4;4;2;2;5;2;4;4;2;2;4;2;3;3;4;3;4;2
22;Academic Bachelor;M;Proximus;A question answered;FAQ;Dutch;On the website;1;1;2;1;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;2;5;5;2;5;1;2;5;5;2;5;1;2;5;5;2;5;1;5;3;5;1;1
35;Academic Bachelor;F;Telenet;FAQ;FAQ;English;On the website;1;2;1;1;2;2;1;2;2;1;1;2;2;2;1;1;2;1;1;3;4;1;2;5;1;3;1;5;4;2;4;2;1;4;4;3;2;5;1;4;2;1;4
38;Master;F;Proximus;question answered;FAQ;English;Facebook Messenger;1;2;2;2;1;1;2;1;2;1;2;1;1;2;2;2;1;1;2;2;2;5;3;2;4;2;2;3;5;3;1;5;3;2;4;2;4;2;1;4;3;5;2
35;Academic Bachelor;F;Telenet;asked a question;FAQ;English;In the app;1;1;1;1;2;1;2;1;2;2;2;1;2;1;2;2;1;2;1;1;2;4;5;3;1;5;2;4;2;5;5;1;5;2;2;4;1;4;2;4;4;3;2
34;PhD;F;Telenet;een vraag;FAQ;Dutch;On the website;1;1;2;2;1;2;1;1;2;1;2;1;2;2;2;1;1;1;2;2;5;1;3;4;2;2;4;2;3;4;2;5;5;3;2;1;3;1;4;2;3;4;3
36;Master;F;Proximus;FAQ;FAQ;English;In the app;1;2;2;2;1;2;1;2;2;1;1;2;1;1;1;1;2;1;2;2;2;4;4;3;3;4;1;5;2;2;4;3;2;1;3;5;2;2;4;3;2;5;3
35;Academic Bachelor;F;Proximus;a question answered;FAQ;French;In the app;1;2;1;1;2;1;2;1;2;2;2;1;1;2;1;2;1;1;2;2;1;3;3;3;2;5;3;3;2;1;4;3;4;4;2;4;4;2;3;4;5;2;3
35;Master;F;Telenet;a question answered;FAQ;English;On the website;1;1;1;1;2;2;1;2;1;2;1;2;2;1;2;1;2;1;2;2;2;4;4;3;5;5;4;2;1;3;5;2;4;2;4;3;4;1;5;1;4;2;4
34;Academic Bachelor;F;Proximus;Fixing WiFi;Complaint;Dutch;In the app;1;2;1;2;1;2;2;2;1;2;2;2;1;1;2;1;2;2;2;2;2;3;4;4;3;2;2;1;5;4;2;4;3;5;2;4;2;1;3;4;1;4;3
34;Academic Bachelor;F;Telenet;Roaming information;FAQ;French;On the website;2;1;2;1;2;1;2;1;2;1;2;1;1;1;1;2;1;2;1;1;3;2;4;5;2;4;2;4;2;2;1;5;4;2;1;3;2;5;3;2;5;3;3
38;Academic Bachelor;F;Proximus;Problems with digicorder;Complaint;Dutch;On the website;1;2;1;2;2;1;1;2;2;2;1;2;1;2;1;2;1;2;1;2;1;5;4;1;4;2;3;2;4;5;2;1;1;4;5;2;3;4;2;2;3;3;2
20;High School;M;Telenet;question answered;FAQ;Dutch;On the website;2;1;2;1;2;1;2;2;2;2;2;1;2;1;2;1;1;2;2;1;2;4;5;1;4;1;1;4;4;1;4;1;1;4;4;1;4;1;5;4;5;1;2
19;High School;M;Proximus;Fixing my WiFi at home;Complaint;Dutch;On the website;2;2;2;1;1;1;1;1;2;1;2;1;2;1;1;1;1;2;2;1;1;5;5;1;5;4;2;3;4;4;2;3;3;3;3;3;3;3;4;2;5;2;4
28;Master;M;Proximus;Make an appointment for a technical modification of my internet connection;Complaint;Dutch;On the website;1;1;1;1;2;1;1;1;1;2;2;2;1;2;1;1;2;1;1;2;1;4;3;2;4;2;2;4;3;4;2;2;2;3;4;4;4;4;4;2;3;4;2
25;Master;M;Proximus;Removal of subscription;Sales;Dutch;On the website;1;1;1;1;2;2;1;1;2;2;2;2;2;1;1;1;1;2;2;2;3;4;5;3;4;1;1;4;4;3;5;2;3;5;4;3;5;1;4;5;5;2;2
26;Master;M;Proximus;A question answered ;FAQ;Dutch;In the app;2;1;1;2;2;1;2;1;2;2;2;2;2;2;2;1;1;2;2;1;2;5;5;2;5;1;2;4;5;1;5;1;1;5;5;2;5;1;5;1;5;1;1
23;Master;M;Proximus;A question answered;FAQ;English;On the website;2;2;2;1;1;1;2;1;2;1;2;1;2;1;1;1;1;1;1;1;1;5;5;2;5;1;3;5;5;1;5;2;1;5;5;1;5;1;5;3;5;1;1
23;Academic Bachelor;M;Proximus;Router not working why? ;Complaint;Dutch;On the website;1;1;1;1;2;1;2;1;2;2;2;2;2;1;1;1;2;2;2;1;3;5;4;3;5;1;5;4;5;3;5;1;2;5;5;1;5;1;3;4;4;1;1
24;Academic Bachelor;F;Telenet;Information about my subscription;Personalised Question;French;On the website;1;1;1;1;2;2;1;1;2;1;2;2;2;1;1;1;1;1;2;2;2;3;5;4;5;1;4;5;5;2;5;4;4;5;5;2;5;4;5;1;5;1;1
19;Academic Bachelor;M;Telenet;Paswoord retrieve ;Personalised Question;English;On the website;1;2;1;1;2;2;1;2;2;2;2;1;2;1;1;2;1;2;2;2;3;2;4;2;4;2;1;5;4;1;5;1;5;2;5;4;2;1;2;3;5;4;4
22;Master;M;Telenet;Question answered;FAQ;Dutch;On the website;2;2;2;1;1;1;2;2;1;2;2;1;2;1;1;1;1;1;1;1;1;5;5;1;5;1;1;5;5;1;5;1;1;5;5;1;5;1;5;1;5;1;1
26;Master;F;Proximus;Information about all in one pack for tv intwrnet and telephone;Sales;Dutch;On the website;2;2;2;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;1;1;3;4;5;3;4;1;3;5;5;1;5;1;3;5;5;2;5;1;5;3;5;1;2
25;Professional Bachelor;F;Proximus;A question about an invoice;Personalised Question;Dutch;On the website;2;1;1;1;2;1;2;1;2;1;2;1;2;1;1;1;1;1;2;4;4;2;5;4;2;2;2;4;5;2;4;3;3;4;4;4;4;2;5;2;5;1;2
21;High School;M;Telenet;Question answered about subscription;Personalised Question;Dutch;On the website;1;1;1;1;2;1;1;1;2;2;2;1;2;1;1;1;1;2;2;1;2;1;5;5;1;1;1;1;5;5;5;1;1;5;5;5;5;3;5;3;5;1;4
22;Master;F;Telenet;about roaming on Malta because it didn’t work;Complaint;Dutch;On the website;2;2;2;1;1;1;1;1;2;1;2;1;2;1;1;1;1;1;2;1;1;5;5;2;4;1;2;3;5;4;5;1;1;4;4;4;4;1;5;1;5;1;1
25;Academic Bachelor;F;Proximus;Question answered ;FAQ;Dutch;On the website;2;2;2;1;1;1;2;1;2;1;2;1;2;1;1;1;1;1;1;1;2;4;5;3;4;1;2;5;5;2;4;1;2;5;4;2;4;1;5;2;5;1;2
22;High School;M;Telenet;Internet didn't work;Complaint;English;On the website;2;2;2;1;1;1;2;2;2;1;1;1;1;1;2;2;1;1;1;2;3;2;4;4;2;2;2;3;4;3;3;3;3;3;3;3;3;2;4;4;4;2;2
23;Master;M;Telenet;A question answered;FAQ;Dutch;On the website;2;1;2;1;1;1;1;2;2;1;2;1;2;2;1;2;1;1;1;4;3;3;2;4;5;4;2;4;4;3;4;3;4;2;4;4;2;5;3;4;2;2;3
22;Master;M;Telenet;Asking for An employee;Personalised Question;Dutch;On the website;2;2;1;1;2;1;2;1;2;1;2;1;2;1;2;1;1;1;1;2;3;5;5;1;4;1;1;4;5;1;5;1;1;5;5;1;4;1;5;3;5;1;3
22;Master;M;Telenet;Answered some questions for me;FAQ;Dutch;On the website;2;1;2;1;1;1;2;2;1;2;1;1;2;1;2;1;1;1;1;1;3;4;4;2;4;1;2;3;5;2;5;1;2;4;5;2;5;1;5;2;5;2;2
23;Professional Bachelor;M;Proximus;Issues with digicorder, tv not working properly;Complaint;Dutch;On the website;2;1;1;1;2;1;2;1;2;1;2;2;2;1;2;1;1;1;1;1;1;5;5;1;5;1;1;5;5;1;5;5;5;1;1;5;1;1;5;3;5;1;2
19;High School;M;Telenet;Vraag over internet;FAQ;Dutch;On the website;2;1;1;1;2;1;2;1;2;2;2;1;2;1;1;1;2;2;2;1;2;4;5;1;5;1;1;4;4;2;4;1;1;4;3;1;4;1;5;3;5;1;5
20;High School;M;Telenet;Question answered ;FAQ;Dutch;On the website;2;1;2;1;1;2;2;2;1;1;1;2;2;1;2;1;1;1;1;4;4;2;4;4;2;3;4;3;4;4;2;4;2;3;4;4;2;3;2;5;3;3;3
23;High School;M;Telenet;informatie over mijn persoonlijke account verkrijgen;Personalised Question;Dutch;On the website;2;1;2;1;2;1;2;1;2;1;2;1;2;1;1;1;1;2;1;3;1;5;3;3;3;1;1;5;5;3;5;3;3;3;3;3;3;1;5;4;5;1;1
22;Professional Bachelor;M;T-Mobile;Cancel my subscription;Sales;Dutch;On the website;2;1;2;1;1;1;2;2;1;1;1;1;2;1;2;1;1;1;1;1;3;4;4;2;3;1;1;5;5;2;4;4;4;3;2;3;2;1;4;2;5;1;3
22;Master;M;T-Mobile;FAQ - get more information about the different subscriptions;FAQ;Dutch;On the website;2;2;2;1;1;1;2;2;1;1;1;1;1;1;2;2;1;1;1;2;2;4;5;2;4;1;1;5;5;1;5;2;2;4;4;2;4;3;5;1;4;1;1
24;Professional Bachelor;M;Orange;Request pricing ;Sales;Dutch;Facebook Messenger;2;1;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;1;2;4;5;1;2;4;1;5;5;3;2;2;2;4;5;2;2;4;2;1;3;5;5;3;3
